@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs_nn-1 numeric
@attribute inputs_nn-2 numeric
@attribute inputs_nn-3 numeric
@attribute inputs_nn-4 numeric
@attribute inputs_nn-5 numeric
@attribute inputs_nn-6 numeric
@attribute inputs_nn-7 numeric
@attribute inputs_nn-8 numeric
@attribute inputs_nn-9 numeric
@attribute inputs_nn-10 numeric
@attribute inputs_nn-11 numeric
@attribute inputs_nn-12 numeric
@attribute inputs_nn-13 numeric
@attribute inputs_nn-14 numeric
@attribute inputs_nn-15 numeric
@attribute inputs_nn-16 numeric
@attribute outputs_nn-1 numeric
@attribute outputs_nn-2 numeric
@attribute outputs_nn-3 numeric
@attribute outputs_nn-4 numeric
@attribute outputs_nn-5 numeric
@attribute outputs_nn-6 numeric
@attribute outputs_nn-7 numeric
@attribute outputs_nn-8 numeric
@attribute outputs_nn-9 numeric
@attribute outputs_nn-10 numeric

@data
5963,'2018/09/27 11:52:24:027',10,0.382491,0.37999,0.376549,0.372228,0.3671,0.361251,0.354778,0.347784,0.340382,0.332686,0.324809,0.316866,0.000001,0.000411,0.000645,0,1,0,0,0,0,0,0,0,0,0
5964,'2018/09/27 11:52:24:074',10,0.398528,0.38541,0.368635,0.349577,0.329721,0.310506,0.293178,0.278677,0.267557,0.259967,0.255679,0.254151,0,0.000348,0.000644,0,1,0,0,0,0,0,0,0,0,0
5965,'2018/09/27 11:52:24:132',10,0.438619,0.426591,0.410902,0.392581,0.372786,0.35271,0.333479,0.31606,0.301196,0.289351,0.280695,0.275113,0.000001,0.00056,0.000642,0,1,0,0,0,0,0,0,0,0,0
5966,'2018/09/27 11:52:24:180',10,0.418286,0.401299,0.379574,0.354891,0.329183,0.304337,0.282002,0.263448,0.249462,0.240324,0.23583,0.235374,0,0.000461,0.000638,0,1,0,0,0,0,0,0,0,0,0
5967,'2018/09/27 11:52:24:225',10,0.435316,0.418683,0.397403,0.373219,0.34803,0.323698,0.30186,0.283777,0.270234,0.261496,0.257325,0.257057,0.000001,0.00069,0.000639,0,1,0,0,0,0,0,0,0,0,0
5968,'2018/09/27 11:52:24:283',10,0.479743,0.459717,0.434145,0.405143,0.374987,0.345864,0.319647,0.297725,0.280896,0.269352,0.262731,0.260241,0.000001,0.000423,0.00064,0,1,0,0,0,0,0,0,0,0,0
5969,'2018/09/27 11:52:24:330',10,0.43144,0.417608,0.399894,0.379717,0.3586,0.338008,0.319192,0.303081,0.290209,0.280706,0.274335,0.270578,0,0.000376,0.000637,0,1,0,0,0,0,0,0,0,0,0
5970,'2018/09/27 11:52:24:376',10,0.438866,0.420294,0.396933,0.370975,0.344684,0.320104,0.29883,0.281853,0.269514,0.261553,0.25725,0.255611,0,0.000304,0.000636,0,1,0,0,0,0,0,0,0,0,0
5971,'2018/09/27 11:52:24:422',10,0.426256,0.412424,0.394625,0.374204,0.352607,0.331226,0.311259,0.293606,0.278814,0.267066,0.258227,0.25192,0,0.000305,0.000628,0,1,0,0,0,0,0,0,0,0,0
5972,'2018/09/27 11:52:24:480',10,0.443883,0.43095,0.413931,0.393812,0.371725,0.348861,0.326388,0.305363,0.286671,0.270966,0.258647,0.249847,0,0.000526,0.000625,0,1,0,0,0,0,0,0,0,0,0
