@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs_nn-1 numeric
@attribute inputs_nn-2 numeric
@attribute inputs_nn-3 numeric
@attribute inputs_nn-4 numeric
@attribute inputs_nn-5 numeric
@attribute inputs_nn-6 numeric
@attribute inputs_nn-7 numeric
@attribute inputs_nn-8 numeric
@attribute inputs_nn-9 numeric
@attribute inputs_nn-10 numeric
@attribute inputs_nn-11 numeric
@attribute inputs_nn-12 numeric
@attribute inputs_nn-13 numeric
@attribute inputs_nn-14 numeric
@attribute inputs_nn-15 numeric
@attribute inputs_nn-16 numeric
@attribute outputs_nn-1 numeric
@attribute outputs_nn-2 numeric
@attribute outputs_nn-3 numeric
@attribute outputs_nn-4 numeric
@attribute outputs_nn-5 numeric
@attribute outputs_nn-6 numeric
@attribute outputs_nn-7 numeric
@attribute outputs_nn-8 numeric
@attribute outputs_nn-9 numeric
@attribute outputs_nn-10 numeric

@data
26310,'2018/10/03 20:13:47:021',28,0.447866,0.430577,0.409034,0.38535,0.361604,0.339571,0.320555,0.305317,0.294105,0.286736,0.282703,0.281267,0.000003,0.000562,0.001459,0,1,0,0,0,0,0,0,0,0,0
26311,'2018/10/03 20:13:47:067',28,0.400352,0.385156,0.366178,0.341345,0.315981,0.296588,0.282018,0.268585,0.258971,0.25762,0.261538,0.264402,0.000001,0.000365,0.001452,0,1,0,0,0,0,0,0,0,0,0
26312,'2018/10/03 20:13:47:125',28,0.459829,0.441342,0.418564,0.393939,0.36982,0.348104,0.329974,0.315799,0.3052,0.297253,0.290793,0.284724,0.000002,0.000569,0.001459,0,1,0,0,0,0,0,0,0,0,0
26313,'2018/10/03 20:13:47:172',28,0.500431,0.463324,0.422712,0.385261,0.354999,0.332643,0.316275,0.302946,0.290418,0.278269,0.267903,0.261572,0.000002,0.001234,0.001459,0,1,0,0,0,0,0,0,0,0,0
26314,'2018/10/03 20:13:47:218',28,0.505434,0.477709,0.443187,0.405383,0.367857,0.333736,0.305336,0.28394,0.26976,0.26207,0.259479,0.260269,0.000003,0.000843,0.001464,0,1,0,0,0,0,0,0,0,0,0
26315,'2018/10/03 20:13:47:276',28,0.476651,0.454402,0.427599,0.399302,0.372065,0.34754,0.326402,0.30857,0.293606,0.281109,0.270952,0.263297,0.000003,0.000669,0.001473,0,1,0,0,0,0,0,0,0,0,0
26316,'2018/10/03 20:13:47:323',28,0.485841,0.458471,0.42456,0.387746,0.351755,0.319898,0.294666,0.277455,0.268485,0.266879,0.270918,0.278379,0.000002,0.000496,0.001484,0,1,0,0,0,0,0,0,0,0,0
26317,'2018/10/03 20:13:47:369',28,0.470648,0.45158,0.427763,0.401488,0.375007,0.350247,0.328616,0.310947,0.297547,0.288328,0.282948,0.280926,0.000001,0.000824,0.00147,0,1,0,0,0,0,0,0,0,0,0
26318,'2018/10/03 20:13:47:427',28,0.484245,0.471484,0.454683,0.434801,0.41294,0.390253,0.36786,0.34677,0.327811,0.31158,0.298416,0.288397,0.000007,0.001622,0.001503,0,1,0,0,0,0,0,0,0,0,0
26319,'2018/10/03 20:13:47:474',28,0.403222,0.393726,0.38195,0.369147,0.356592,0.345408,0.33641,0.330007,0.326164,0.324428,0.324025,0.323992,0.000004,0.0006,0.001506,0,1,0,0,0,0,0,0,0,0,0
